Product ID;Active (0/1);Name *;Categories (x,y,z...);Unit price;In store (0/1);Description;                           URL rewritten;Available for order (0 = No, 1 = Yes);Show price (0 = No, 1 = Yes);                           Image URLs;Delete existing images (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);                           Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Quantity
1000;1;Laura Baird - I Wish I Were A Sparrow;Rock;40;1;Album pod tytulem I Wish I Were A Sparrow autorstwa Laura Baird. Uwazany za istotny dla gatunku Rock.;Rock;1;1;/covers/0.jpg;1;new;0;0;0;0;0;0;0;100
1001;1;Flat Worms - Flat Worms;Rock;34;1;Album pod tytulem Flat Worms autorstwa Flat Worms. Uwazany za istotny dla gatunku Rock.;Rock;1;1;/covers/1.jpg;1;new;0;0;0;0;0;0;0;100
1002;1;Chante Moore - The Rise Of The Phoenix;Soul/R & B;44;1;Album pod tytulem The Rise Of The Phoenix autorstwa Chante Moore. Uwazany za istotny dla gatunku Soul/R & B.;SoulRB;1;1;/covers/2.jpg;1;new;0;0;0;0;0;0;0;100
1003;1;Hedley - Cageless [Import];Rock;30;1;Album pod tytulem Cageless [Import] autorstwa Hedley. Uwazany za istotny dla gatunku Rock.;Rock;1;1;/covers/3.jpg;1;new;0;0;0;0;0;0;0;100
1004;1;Section A - Wall Of Silence;Rock;37;1;Album pod tytulem Wall Of Silence autorstwa Section A. Uwazany za istotny dla gatunku Rock.;Rock;1;1;/covers/4.jpg;1;new;0;0;0;0;0;0;0;100
1005;1;Alan Jackson - Let It Be Christmas;Xmas Vocal;35;1;Album pod tytulem Let It Be Christmas autorstwa Alan Jackson. Uwazany za istotny dla gatunku Xmas Vocal.;XmasVocal;1;1;/covers/5.jpg;1;new;0;0;0;0;0;0;0;100
1006;1;Tyminski - Southern Gothic;Country;36;1;Album pod tytulem Southern Gothic autorstwa Tyminski. Uwazany za istotny dla gatunku Country.;Country;1;1;/covers/6.jpg;1;new;0;0;0;0;0;0;0;100
1007;1;Slipknot - Day Of The Gusano;Rock;30;1;Album pod tytulem Day Of The Gusano autorstwa Slipknot. Uwazany za istotny dla gatunku Rock.;Rock;1;1;/covers/7.jpg;1;new;0;0;0;0;0;0;0;100
1008;1;98 Degrees - Let It Snow;Xmas Vocal;32;1;Album pod tytulem Let It Snow autorstwa 98 Degrees. Uwazany za istotny dla gatunku Xmas Vocal.;XmasVocal;1;1;/covers/8.jpg;1;new;0;0;0;0;0;0;0;100
1009;1;Vincent Price - Hornbook For Witches Stories & Poems For Halloween;Rock;29;1;Album pod tytulem Hornbook For Witches Stories & Poems For Halloween autorstwa Vincent Price. Uwazany za istotny dla gatunku Rock.;Rock;1;1;/covers/9.jpg;1;new;0;0;0;0;0;0;0;100
1010;1;Iron Monkey - 9-13;Rock;27;1;Album pod tytulem 9-13 autorstwa Iron Monkey. Uwazany za istotny dla gatunku Rock.;Rock;1;1;/covers/10.jpg;1;new;0;0;0;0;0;0;0;100
1011;1;Larry Wallis - The Sound Of Speed;Rock;27;1;Album pod tytulem The Sound Of Speed autorstwa Larry Wallis. Uwazany za istotny dla gatunku Rock.;Rock;1;1;/covers/11.jpg;1;new;0;0;0;0;0;0;0;100
1012;1;Diane Arkenstone - Soul Nektar;International;45;1;Album pod tytulem Soul Nektar autorstwa Diane Arkenstone. Uwazany za istotny dla gatunku International.;International;1;1;/covers/12.jpg;1;new;0;0;0;0;0;0;0;100
1013;1;Blackmore's Night - Winter Carols (2017 Edition);Xmas Vocal;29;1;Album pod tytulem Winter Carols (2017 Edition) autorstwa Blackmore's Night. Uwazany za istotny dla gatunku Xmas Vocal.;XmasVocal;1;1;/covers/13.jpg;1;new;0;0;0;0;0;0;0;100
1014;1;Stefano Battaglia - Pelagos;Jazz;43;1;Album pod tytulem Pelagos autorstwa Stefano Battaglia. Uwazany za istotny dla gatunku Jazz.;Jazz;1;1;/covers/14.jpg;1;new;0;0;0;0;0;0;0;100
1015;1;Roman Flugel - Fabric;Electronic;29;1;Album pod tytulem Fabric autorstwa Roman Flugel. Uwazany za istotny dla gatunku Electronic.;Electronic;1;1;/covers/15.jpg;1;new;0;0;0;0;0;0;0;100
1016;1;Ton Steine Scherben - In Dub;Rock;43;1;Album pod tytulem In Dub autorstwa Ton Steine Scherben. Uwazany za istotny dla gatunku Rock.;Rock;1;1;/covers/16.jpg;1;new;0;0;0;0;0;0;0;100
1017;1;Rodhad - Anxious;Electronic;18;1;Album pod tytulem Anxious autorstwa Rodhad. Uwazany za istotny dla gatunku Electronic.;Electronic;1;1;/covers/17.jpg;1;new;0;0;0;0;0;0;0;100
1018;1;Melanie De Biasio - Lilies;Rock;23;1;Album pod tytulem Lilies autorstwa Melanie De Biasio. Uwazany za istotny dla gatunku Rock.;Rock;1;1;/covers/18.jpg;1;new;0;0;0;0;0;0;0;100
1019;1;The Forsaken - Pentateuch;Rock;37;1;Album pod tytulem Pentateuch autorstwa The Forsaken. Uwazany za istotny dla gatunku Rock.;Rock;1;1;/covers/19.jpg;1;new;0;0;0;0;0;0;0;100
1020;1;Pineapple Thief - Where We Stood;Rock;15;1;Album pod tytulem Where We Stood autorstwa Pineapple Thief. Uwazany za istotny dla gatunku Rock.;Rock;1;1;/covers/20.jpg;1;new;0;0;0;0;0;0;0;100
